path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
.coderabbit.yaml,,A,A,unmarked-addition,gone,335,0,.coderabbit.yaml
.dockerignore,,M,B,wiring,present,10,1,.dockerignore
.githooks/pre-push,,M,B,feature,present,236,4,.githooks
.github/ISSUE_TEMPLATE/bug_report.md,,D,C,deleted-upstream-file,present,0,39,ci
.github/ISSUE_TEMPLATE/bug_report.yml,,A,A,unmarked-addition,gone,88,0,ci
.github/ISSUE_TEMPLATE/config.yml,,A,A,unmarked-addition,gone,11,0,ci
.github/ISSUE_TEMPLATE/feature_request.md,,D,C,deleted-upstream-file,present,0,21,ci
.github/ISSUE_TEMPLATE/l1_btc_reorg_sync_bug.yml,,A,A,unmarked-addition,gone,273,0,ci
.github/ISSUE_TEMPLATE/operator_evidence_report.yml,,A,A,unmarked-addition,gone,290,0,ci
.github/lint/via-structural/README.md,,A,A,via-crate,,41,0,via-structural
.github/lint/via-structural/ast-grep/README.md,,A,A,via-crate,,231,0,via-structural
.github/lint/via-structural/ast-grep/baseline.txt,,A,A,via-crate,,13,0,via-structural
.github/lint/via-structural/ast-grep/fixtures/reorg/empty_l1_blocks_bad.rs,,A,A,via-crate,,32,0,via-structural
.github/lint/via-structural/ast-grep/fixtures/reorg/empty_l1_blocks_good.rs,,A,A,via-crate,,44,0,via-structural
.github/lint/via-structural/ast-grep/fixtures/reorg/zip_bad.rs,,A,A,via-crate,,42,0,via-structural
.github/lint/via-structural/ast-grep/fixtures/reorg/zip_good.rs,,A,A,via-crate,,35,0,via-structural
.github/lint/via-structural/ast-grep/rules/candidate-inscriber-pending-chain.md,,A,A,via-crate,,57,0,via-structural
.github/lint/via-structural/ast-grep/rules/reorg-ordering.yml,,A,A,via-crate,,37,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-avoid-duplicate-export.yml,,A,A,via-crate,,26,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-da-batch-before-proof.yml,,A,A,via-crate,,34,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-reorg-empty-l1-blocks-nonfatal.yml,,A,A,via-crate,,43,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-reorg-height-association-required.yml,,A,A,via-crate,,43,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-workflow-docker-tag-validation.yml,,A,A,via-crate,,28,0,via-structural
.github/lint/via-structural/ast-grep/rules/via-workflow-ref-env-write-validation.yml,,A,A,via-crate,,29,0,via-structural
.github/lint/via-structural/ast-grep/sgconfig.yml,,A,A,via-crate,,47,0,via-structural
.github/pull_request_template.md,,M,B,noise,present,268,14,ci
.github/release-please/config.json,,M,B,noise,present,8,7,ci
.github/release-please/manifest.json,,M,B,noise,present,4,3,ci
.github/scripts/check-via-structural-rules.sh,,A,A,unmarked-addition,gone,231,0,ci
.github/scripts/rate_limit_check.sh,,A,A,unmarked-addition,identical-to-v29,43,0,ci
.github/scripts/validate_issue_templates.py,,A,A,unmarked-addition,gone,417,0,ci
.github/sibling-paths.yml,,A,A,unmarked-addition,gone,14,0,ci
.github/via-areas.yml,,A,A,via-named-embedded,,52,0,ci
.github/via-core-image-builds.md,,A,A,via-named-embedded,,280,0,ci
.github/via-scopes.yml,,A,A,via-named-embedded,,19,0,ci
.github/workflows/build-base.yml.disabled,,A,A,unmarked-addition,gone,159,0,ci
.github/workflows/build-contract-verifier-template.yml.disabled,.github/workflows/build-contract-verifier-template.yml,R053,B,noise,present,0,0,ci
.github/workflows/build-core-template.yml,,M,B,noise,present,275,118,ci
.github/workflows/build-docker-from-tag.yml,,M,B,noise,present,100,63,ci
.github/workflows/build-local-node-docker.yml.disabled,.github/workflows/build-local-node-docker.yml,R090,B,noise,gone,0,0,ci
.github/workflows/build-prover-components.yml,,A,A,unmarked-addition,gone,149,0,ci
.github/workflows/build-prover-fri-gpu-gar-and-circuit-prover-gpu-gar.yml.disabled,,A,A,unmarked-addition,gone,96,0,ci
.github/workflows/build-prover-fri-gpu-gar.yml.disabled,.github/workflows/build-prover-fri-gpu-gar.yml,R062,B,noise,gone,0,0,ci
.github/workflows/build-prover-template.yml,,D,C,deleted-upstream-file,present,0,200,ci
.github/workflows/build-prover-template.yml.disabled,,A,A,unmarked-addition,gone,225,0,ci
